After the End,"LatLng(33.75035, -84.37899)",post-apoc,http://www.larping.org/larps/listing/after-the-end/,"<li><span class=""icon-direction""></span>Sci-fi post-apoc western (heavy on the western) boffer larp run out of at Atlanta, Chattanooga and surrounding areas. Ever wanted…</li>",boffer
LARP AUSTRALIA,"LatLng(-37.81521, 144.96394)",convention,http://www.larping.org/larps/listing/larp-australia/,"<li><span class=""icon-direction""></span>Hello! We are the national LARP community for Australia, we do not run any events at this stage and we…</li>",pen and paper
Kiruna Events,"LatLng(-37.81521, 144.96394)",medieval,http://www.larping.org/larps/listing/kiruna-events/,"<li><span class=""icon-direction""></span>Hi there, We are an Australian boffer larp organisation based in Victoria. We are only new and have run 4 events in…</li>",boffer
Orlando Larp Dreams,"LatLng(28.55893, -81.15814)",world-of-darkness,http://www.larping.org/larps/listing/orlando-larp-dreams/,"<li><span class=""icon-direction""></span>WHAT IS LARP? Live-Action Roleplay, or LARPing, is essentially a grown-up game of Let\'s Pretend, like when you played Cops…</li>",pen and paper
for sale armer and other thing .  at luckyet58@gmail.com,"LatLng(48.86205, 2.33976)",medieval,http://www.larping.org/larps/listing/for-sale-armer-and-other-thing-at-luckyet58gmail-com/,"<li><span class=""icon-direction""></span>I am a maker of such thing.</li>",pen and paper
Sunfrog LARPing Group,"LatLng(45.00669, -84.68871)",organization,http://www.larping.org/larps/listing/sunfrog-larping-group/,"<li><span class=""icon-direction""></span>We are putting together a new LARPing Group come join us! Facebook sunfroglarpinggroup@gmail.com all are welcome!</li>",pen and paper
Terre Impériales,"LatLng(46.28122, -72.2465)",medieval,http://www.larping.org/larps/listing/terre-imperiales-2/,"<li><span class=""icon-direction""></span>Afin de vous mettre en contexte. Il y a plusieurs années de cela, en 1253, l’empereur de l’empire fit plusieurs…</li>",pen and paper
Terre Impériales,"LatLng(46.28122, -72.2465)",medieval,http://www.larping.org/larps/listing/terre-imperiales/,"<li><span class=""icon-direction""></span>Afin de vous mettre en contexte. Il y a plusieurs années de cela, en 1253, l’empereur de l’empire fit plusieurs…</li>",pen and paper
South Florida Mind’s Eye Society,"LatLng(25.79065, -80.13005)",world-of-darkness,http://www.larping.org/larps/listing/south-florida-minds-eye-society/,"<li><span class=""icon-direction""></span>Welcome to World\'s End, Miami by night... The Domain of South Florida welcomes all new and experienced World of Darkness…</li>",pen and paper
Midnight Espresso Troupe,"LatLng(30.3304, -81.64692)",other,http://www.larping.org/larps/listing/midnight-espresso-troupe/,"<li><span class=""icon-direction""></span>We are a Live Action Role Playing (LARP) troupe with 5,500 sq feet of dedicated space. We currently host four…</li>",pen and paper
Melee: Medieval Sports Combat Reenactment,"LatLng(38.82951, -104.7934)",organization,http://www.larping.org/larps/listing/melee-medieval-sports-combat-reenactment/,"<li><span class=""icon-direction""></span>We are a group that is interested in learning and practicing medieval combat styles. We are in between Amtgard and…</li>",pen and paper
Mystwood: The Chronicles of Burgundar,"LatLng(44.15091, -70.61179)",event,http://www.larping.org/larps/listing/mystwood-the-chronicles-of-burgundar/,"<li><span class=""icon-direction""></span>By Jarl Godric Founded by ancestors of the hearty Skadian people of the North, Burgundar is a small village that…</li>",pen and paper
Burgundar,"LatLng(44.15091, -70.61179)",organization,http://www.larping.org/larps/listing/burgundar-2/,"<li><span class=""icon-direction""></span>A Medieval themed LARP venue located in South-Western Maine. We host events in nature in a 50 acre forest. This…</li>",pen and paper
Clemson Armageddon: The Destruction of Bowman,"LatLng(34.68086, -82.83664)",fantasy,http://www.larping.org/larps/listing/clemson-armageddon-the-destruction-of-bowman/,"<li><span class=""icon-direction""></span>Clemson Armageddon is a LARP battle based at Clemson University in Clemson, SC. The event is a one day a…</li>",pen and paper
Vampire: The Requiem ~ Kindred Voodoo,"LatLng(38.03773, -84.5022)",world-of-darkness,http://www.larping.org/larps/listing/vampire-the-requiem-kindred-voodoo/,"<li><span class=""icon-direction""></span>Kindred Voodoo is a local Lexington LARP that takes place in the beautiful city of New Orleans, Louisiana! Our LARP…</li>",pen and paper
Barony of Dragon’s Forge (Amtgard),"LatLng(45.3707, -122.60174)",fantasy,http://www.larping.org/larps/listing/barony-of-dragons-forge-amtgard/,"<li><span class=""icon-direction""></span>The Barony of Dragon’s Forge is a thriving Amtgard boffer larp chapter focused on full-class battlegames and everyone having fun. We meet…</li>",boffer
Tir – Asleen Dagorhir Realm,"LatLng(44.45411, -73.22759)",organization,http://www.larping.org/larps/listing/tir-asleen-dagorhir-realm/,"<li><span class=""icon-direction""></span>Medieval and fantasy full contact Boffer fighting. Lighter on the Larp side heavier on the games, socialization and physical aspects…</li>",pen and paper
Empire Falls LARP,"LatLng(45.32807, -75.90189)",world-of-darkness,http://www.larping.org/larps/listing/empire-falls-larp/,"<li><span class=""icon-direction""></span>The city of Empire Falls is a fictional city based in the World of Darkness where the Camarilla, Sabbat and…</li>",pen and paper
Gates of the Fallen LARP,"LatLng(48.85678, 2.34194)",other,http://www.larping.org/larps/listing/gates-of-the-fallen-larp/,"<li><span class=""icon-direction""></span>All ages, lightest boffer touch system. We have been around for years and are always looking for new members.</li>",boffer
Blodsband Reloaded: Celestial Vengeance,"LatLng(59.74837, 15.20217)",post-apoc,http://www.larping.org/larps/listing/blodsband-reloaded-celestial-vengeance/,"<li><span class=""icon-direction""></span>Civilization as we know it ended a hundred or so years ago (who\'s counting?), but no-one mourns it. Turns out…</li>",pen and paper
NERO Legends,"LatLng(30.76674, -94.50245)",fantasy,http://www.larping.org/larps/listing/nero-legends/,"<li><span class=""icon-direction""></span>Welcome to NERO – the New England Roleplaying Organization. We are the largest Boffer Live Action Role Playing organization in the…</li>",pen and paper
CARPS,"LatLng(42.50503, -83.88097)",fantasy,http://www.larping.org/larps/listing/carps/,"<li><span class=""icon-direction""></span>CARPS is a light touch boffer fantasy larp that has been operating in Southeast Michigan for over 20 years. We…</li>",boffer
GECO LARP,"LatLng(-31.95351, 115.85705)",fantasy,http://www.larping.org/larps/listing/geco-larp-2/,"<li><span class=""icon-direction""></span>GECO Live Action Roleplay is a High Fantasy boffer event run in Perth, Western Australia featuring combat, roleplay, storytelling and all…</li>",boffer
River Valley Rage: Unchained,"LatLng(35.15689, -84.87618)",world-of-darkness,http://www.larping.org/larps/listing/river-valley-rage-unchained/,"<li><span class=""icon-direction""></span>River Valley Rage: Unchained is a Vampire: the Masquerade World of Darkness LARP located in Cleveland, Tennessee. RVR is a…</li>",pen and paper
Underworld LARP Jericho,"LatLng(43.65323, -79.38318)",fantasy,http://www.larping.org/larps/listing/underworld-larp-jericho/,"<li><span class=""icon-direction""></span>Underworld LARP : Jericho is the parent guild of the Underworld Boffer LARP system and is based out of Toronto, Canada.…</li>",pen and paper
Fate LARP,"LatLng(41.86138, -78.84613)",fantasy,http://www.larping.org/larps/listing/fate-larp/,"<li><span class=""icon-direction""></span>Fate Boffer LARP is preparing to enter its 4th season after three years of beta testing and refinement. We\'ll be starting…</li>",pen and paper
NERO Odyssey,"LatLng(28.06164, -82.43832)",fantasy,http://www.larping.org/larps/listing/nero-odyssey/,"<li><span class=""icon-direction""></span>We are here for you in South and Central Florida using the NERO Boffer LARP rules. Our chapter has begun with…</li>",pen and paper
Nordic Equinox,"LatLng(58.69889, 26.45084)",fantasy,http://www.larping.org/larps/listing/nordic-equinox/,"<li><span class=""icon-direction""></span>Nordic Equinox is an annual boffer LARP, held every August in Estonia, participation is between 200-300 players and the event will…</li>",boffer
Resistopia I “The Resistance”,"LatLng(52.39142, 11.78604)",sci-fi,http://www.larping.org/larps/listing/resistopia-i-the-resistance/,"<li><span class=""icon-direction""></span> boffer Resistopia I \""The Resistance\"" 10-13th September 2015 in Mahlwinkel The Lost-Ideas Organization Group presents a Combat oriented LARP that takes…</li>",boffer
Amtgard – Goldenvale Proper,"LatLng(42.77575, -71.47441)",fantasy,http://www.larping.org/larps/listing/amtgard-goldenvale-proper/,"<li><span class=""icon-direction""></span>Interested in fast-paced medieval combat? In Amtgard, you can use safe boffer replicas to take the field in everything from…</li>",boffer
Meadowmere Colony of Larpcraft,"LatLng(37.16946, -93.27838)",organization,http://www.larping.org/larps/listing/meadowmere-colony-of-larpcraft/,"<li><span class=""icon-direction""></span>Our organization hosts events in a Fantasy/Medieval setting using the boffer larp Myths & Legends ruleset from larpcraft.com</li>",boffer
General Spar,"LatLng(35.53818, -97.62748)",medieval,http://www.larping.org/larps/listing/general-spar/,"<li><span class=""icon-direction""></span>This is our standard boffer sparring practice that we have every Friday night and Saturday morning. This event is open for…</li>",boffer
Edelweiss Colony of Larpcraft,"LatLng(40.45921, -90.6718)",fantasy,http://www.larping.org/larps/listing/edelweiss-colony-of-larpcraft/,"<li><span class=""icon-direction""></span>fantasy boffer larp system with online tracking</li>",boffer
Dead Yet Dreaming,"LatLng(39.16767, -86.5224)",world-of-darkness,http://www.larping.org/larps/listing/dead-yet-dreaming/,"<li><span class=""icon-direction""></span>We are a OWBN Werewolf game geographically located in Bloomington, Indiana. Our chronicle is set in caern on the Ohio…</li>",pen and paper
Amtgard – Helstroms Hollow,"LatLng(36.95562, -76.55134)",organization,http://www.larping.org/larps/listing/amtgard-helstroms-hollow/,"<li><span class=""icon-direction""></span>We are a Fantasy/Medieval genre Boffer LARP that meets Sundays at noon in Carrollton Nike Park. We host Arts, Boffer Combat…</li>",pen and paper
Bunker Springs 2015,"LatLng(50.3713, 7.6918)",post-apoc,http://www.larping.org/larps/listing/bunker-springs-2015/,"<li><span class=""icon-direction""></span>Setting The con series bunker springs treats the subject of a settlement and its inhabitants in a post-apocalyptic world in…</li>",pen and paper
Zombie Apocalypse 8 “Facing Fronts”,"LatLng(52.39611, 11.86332)",post-apoc,http://www.larping.org/larps/listing/zombie-apocalypse-8-facing-fronts/,"<li><span class=""icon-direction""></span>Zombie Apocalypse VIII „Facing Fronts“ Zombie Survival Larp 11.Juni 2015 bis 14.Juni 2015 4 Days and 3 Nights in the…</li>",pen and paper
FATE IX “Bad Moon Rising”,"LatLng(52.39611, 11.86332)",post-apoc,http://www.larping.org/larps/listing/fate-ix-bad-moon-rising/,"<li><span class=""icon-direction""></span>F.A.T.E. is the endtime/apocalypse LARP project by the Lost-Ideas-Orga. It\'s taking place in a post-apocalyptic genre, similar to movies like…</li>",pen and paper
BURGUNDAR: The LARP Location for Southern Maine,"LatLng(44.15091, -70.61179)",organization,http://www.larping.org/larps/listing/burgundar-the-larp-location-for-southern-maine/,"<li><span class=""icon-direction""></span>Burgundar is a seasonal outdoor site dedicated to LARP games and more.Features a Norse-inspired village--the natural center of fun and…</li>",pen and paper
Fields Of Illusion,"LatLng(50.84148, -3.93716)",fantasy,http://www.larping.org/larps/listing/fields-of-illusion/,"<li><span class=""icon-direction""></span>We are a fantasy boffer Live Action Roleplay Game based in Winkleigh, Devon. Within our Realm, players can choose their own…</li>",boffer
Beyond the Wall,"LatLng(44.15091, -70.61179)",medieval,http://www.larping.org/larps/listing/beyond-the-wall-2/,"<li><span class=""icon-direction""></span>Beyond the Wall (BW) is Inspired by the popular HBO series Game of Thrones and the book series A Song…</li>",pen and paper
Rise of the Founders,"LatLng(30.44796, -84.60566)",fantasy,http://www.larping.org/larps/listing/rise-of-the-founders/,"<li><span class=""icon-direction""></span>A Fantasy Boffer Larp, Players play out adventurers of all types, from knights to scoundrels to wizards to priests in…</li>",pen and paper
NERO BANE – LARPing in the Bay Area of California!,"LatLng(37.28717, -121.94996)",fantasy,http://www.larping.org/larps/listing/nero-bane-larping-in-the-bay-area-of-california/,"<li><span class=""icon-direction""></span>Like Dungeons and Dragons? Obsess over LotR? Are you addicted to Game of Thrones? Enjoy costuming? Gaming? Swordplay? World of Warcraft? Come make your adventures real in our boffer larp game.…</li>",boffer
Vespirian Larp,"LatLng(37.08761, -81.759)",fantasy,http://www.larping.org/larps/listing/vespirian-larp/,"<li><span class=""icon-direction""></span>We are based in southwest Virginia. We do fantasty RP. Sign up at http://www.morrgsmurderdolls.com/larpsignup/ or like us on facebook https://www.facebook.com/VespirianLarp</li>",pen and paper
Mind’s Eye Society – Chicago Vampire the Masquerade: Cam/Anarch/Indep. Venue,"LatLng(41.84095, -88.07186)",world-of-darkness,http://www.larping.org/larps/listing/minds-eye-society-chicago-vampire-the-masquerade-camanarchindep-venue/,"<li><span class=""icon-direction""></span>We are an extension of the Mind\'s Eye Society Chicago Domain, IL-013-D. Currently, we have an afternoon VTM game that…</li>",pen and paper
Novi Antiqui Dagorhir Battle,"LatLng(40.77967, -73.92159)",medieval,http://www.larping.org/larps/listing/novi-antiqui-dagorhir-battle/,"<li><span class=""icon-direction""></span>Dagorhir is a nationally played, fast paced, full boffer contact, medieval combat sport. Participants wield boffer weapons and shields and fight…</li>",boffer
Amtgard Roisin Dubh,"LatLng(32.29272, -95.29653)",medieval,http://www.larping.org/larps/listing/amtgard-roisin-dubh/,"<li><span class=""icon-direction""></span>Amtgard is a Medieval Boffer Combat/Live Action Role Play Game that uses Boffer Weapons Roisin Dubh is a member of the…</li>",pen and paper
Amtgard Sun Fall Abbey,"LatLng(31.6175, -94.64183)",medieval,http://www.larping.org/larps/listing/amtgard-sun-fall-abbey/,"<li><span class=""icon-direction""></span>Amtgard is a Medieval Boffer Combat/Live Action Role Play Game Sun Fall Abbey is a member of the Kingdom of the…</li>",pen and paper
Vanguard Larp,"LatLng(40.87016, -73.92087)",fantasy,http://www.larping.org/larps/listing/vanguard-larp/,"<li><span class=""icon-direction""></span>Leave your Mundane life behind for the day and enter the world of Vanguard. Vanguard is a new fully interactive boffer larp.…</li>",boffer
Southern Wilds Larpcraft Colony,"LatLng(-35.09062, 138.55691)",fantasy,http://www.larping.org/larps/listing/southern-wilds-larpcraft-colony/,"<li><span class=""icon-direction""></span>A fantasy boffer larp based in Adelaide, South Australia</li>",boffer
Camarilla – Distrito Federal,"LatLng(19.43261, -99.13321)",world-of-darkness,http://www.larping.org/larps/listing/camarilla-distrito-federal/,"<li><span class=""icon-direction""></span>World of Darkness group in Mexico City. Runs Masquerade, Requiem, Changeling, and Mage: the Awakening</li>",pen and paper
Canada at Midnight: Nova Albion,"LatLng(49.28273, -123.12074)",world-of-darkness,http://www.larping.org/larps/listing/canada-at-midnight-nova-albion/,"<li><span class=""icon-direction""></span>A Domain of the \""Canada at Midnight\"" WoD organisation based in Vancouver, BC. Runs Vampire: the Requiem, Mage: the Awakening,…</li>",pen and paper
Mililani Mind’s Eye Society,"LatLng(21.45133, -158.01528)",world-of-darkness,http://www.larping.org/larps/listing/mililani-minds-eye-society/,"<li><span class=""icon-direction""></span>A chapter of the Mind\'s Eye Society running Vampire the Masquerade: Cam/Anarch, Vampire the Masquerade: Sabbat, Vampire the Requiem, Mage:…</li>",pen and paper
Gamecraft,"LatLng(40.59911, 22.95747)",organization,http://www.larping.org/larps/listing/gamecraft/,"<li><span class=""icon-direction""></span>Gamecraft is an organization specialising in running larps and ARGs in museums and archeological sites. It also runs regular murder…</li>",pen and paper
Golden Thorn Live Action Role-Playing,"LatLng(42.86726, -73.87267)",fantasy,http://www.larping.org/larps/listing/golden-thorn-live-action-role-playing/,"<li><span class=""icon-direction""></span>Boffer Larp. Interactive game play from the Golden Thorn Live Action Role Playing Association is extremely fun and additive! While the game…</li>",pen and paper
Dark Elven Empire Larp Group,"LatLng(37.31999, -77.32278)",fantasy,http://www.larping.org/larps/listing/dark-elven-empire-larp-group/,"<li><span class=""icon-direction""></span>Check out our Facebook page for more information search Larp Group Richmond/Chester Va Dark Elven Empire or email our leader…</li>",pen and paper
Inritius Alliance,"LatLng(45.63873, -122.66149)",fantasy,http://www.larping.org/larps/listing/inritius-alliance/,"<li><span class=""icon-direction""></span>A fantasy boffer larp in the Langley/Surrey area of Vancouver, British Columbia, Canada</li>",boffer
Terre Spezzate,"LatLng(45.07031, 7.68686)",nordic,http://www.larping.org/larps/listing/terre-spezzate/,"<li><span class=""icon-direction""></span>Terre Spezzate - www.grv.itWe are a nonprofit Larp group active since 2006 in Northwest Italy (the Turin and Milan areas,…</li>",pen and paper
Veldaria – An AEON Game System Larp,"LatLng(43.47198, -79.98713)",fantasy,http://www.larping.org/larps/listing/veldaria-an-aeon-game-system-larp/,"<li><span class=""icon-direction""></span>Veldaria is a free-to-play fantasy medieval boffer larp which constantly works to bring the highest quality entertainment to every participant at…</li>",boffer
"Operation Aftermath – Fallout-inspired LARP with Airsoft, Nerf, and Boffer combat","LatLng(33.02917, -97.25038)",post-apoc,http://www.larping.org/larps/listing/operation-aftermath-fallout-inspired-larp-with-airsoft-nerf-and-boffer-combat/,"<li><span class=""icon-direction""></span>Backstory/Setting The world that we know now ended in the late 21st century. Global nuclear war engulfed the earth. Millions…</li>",pen and paper
Gothic: The Lion Age,"LatLng(47.55738, -122.3732)",fantasy,http://www.larping.org/larps/listing/gothic-the-lion-age/,"<li><span class=""icon-direction""></span>Gothic: The Lion Age is a boffer larp game of hard decisions and moral dilemmas. The world is a dark, oppressive place…</li>",boffer
BathLARP,"LatLng(51.38, -2.32323)",fantasy,http://www.larping.org/larps/listing/bathlarp/,"<li><span class=""icon-direction""></span>Long-running high fantasy linear boffer system run in the woodlands near the University of Bath, UK. Check out the website for…</li>",boffer
PHLARP,"LatLng(37.85273, -90.57924)",fantasy,http://www.larping.org/larps/listing/phlarp/,"<li><span class=""icon-direction""></span>Boffer Larp. The World of Phlarp is a mystical and magical land filled with everything from Goblins to Dragons, Warriors to Wizards.…</li>",pen and paper
Free Kingdom of Drakenfjord,"LatLng(30.71103, -94.93299)",organization,http://www.larping.org/larps/listing/free-kingdom-of-drakenfjord/,"<li><span class=""icon-direction""></span>Drakenfjord is a HFS boffer larp kingdom in Livingston, TX. Drakenfjord is a game that brings medeival times and the fantasy alive.</li>",boffer
LARP Greece,"LatLng(38.18293, 22.97241)",fantasy,http://www.larping.org/larps/listing/larp-greece/,"<li><span class=""icon-direction""></span>Foundation of a greek boffer larp society. https://www.facebook.com/groups/393548277476430/</li>",boffer
Pittsburgh Roleplaying Organization (PRO NERO),"LatLng(40.51784, -80.44934)",fantasy,http://www.larping.org/larps/listing/pittsburgh-roleplaying-organization-pro-nero/,"<li><span class=""icon-direction""></span>Become part of a fantasy world where casting spells and medieval combat come to life through boffer fights. The Pittsburgh Roleplaying Organization (PRO)…</li>",boffer
Amtgard: Jupiter’s Stones,"LatLng(38.57355, -90.30409)",fantasy,http://www.larping.org/larps/listing/amtgard-jupiters-stones/,"<li><span class=""icon-direction""></span>Jupiter\'s Stones is a park in ST. Louis, MO belonging to the Boffer LARP organization Amtgard. We meet every Sunday at…</li>",pen and paper
Kingdoms of Aphaerius,"LatLng(51.48158, -3.17909)",fantasy,http://www.larping.org/larps/listing/kingdoms-of-aphaerius/,"<li><span class=""icon-direction""></span>Kingdoms of Aphaerius takes place in the World of Aphaerius, where many Bloody Nations boffer fight for the Imperial Throne. Will…</li>",boffer
Detroit BY Night,"LatLng(43.01878, -83.68768)",world-of-darkness,http://www.larping.org/larps/listing/detroit-by-night/,"<li><span class=""icon-direction""></span>Old world of Darkness MET Sabbat game That started April 2014 at the university of michigan. Free to play game.</li>",pen and paper
Barony of North Haven,"LatLng(41.8834, -88.06091)",medieval,http://www.larping.org/larps/listing/barony-of-north-haven/,"<li><span class=""icon-direction""></span>we are a Medieval, Fantasy Live action roleplay that uses boffer swords and magic.</li>",boffer
Black Hollow Amtgard,"LatLng(38.56656, -91.0272)",medieval,http://www.larping.org/larps/listing/black-hollow-amtgard/,"<li><span class=""icon-direction""></span>Black Hollow is a LARP group from Washington MO. We meet three times a week, Wednesday at 5 pm for…</li>",pen and paper
